nombretitulo,institucion,niveltitulo
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN BIOMEDICINA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
MAGISTER EN ENFERMERIA QUIRURGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN MEDICINA DE EMERGENCIAS Y DESASTRES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN GERENCIA EN SALUD PARA EL DESARROLLO LOCAL,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN LABORATORIO CLINICO,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
MASTER EN MEDICINA ESTETICA,UNIVERSITAT DE LES ILLES BALEARS,CUARTO NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MEDICA,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN INTERVENCION Y ASESORIA FAMILIAR SISTEMICA,UNIVERSIDAD POLITECNICA SALESIANA,CUARTO NIVEL
AUXILIAR DE ENFERMERIA DEL NIVEL TECNICO,UNIVERSIDAD CENTRAL DEL ECUADOR,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MASTER PROPIO UNIVERSITARIO EN ODONTOPEDIATRIA,UNIVERSIDAD COMPLUTENSE DE MADRID,CUARTO NIVEL
ESPECIALISTA EN ODONTOLOGIA (ORTODONCIA),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SEXOLOGIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO/A EN ENFERMERIA,UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD CENTARL DE VENEZUELA,TERCER NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD PUBLICA MENCION EN ATENCION INTEGRAL EN URGENCIAS Y EMERGENCIAS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN TERAPIA MANUAL ORTOPEDICA INTEGRAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN LABORATORIO CLINICO,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
MAGISTER EN GESTION DE RIESGOS MENCION EN PREVENCION DE RIESGOS LABORALES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD PUBLICA MENCION EN ENFERMERIA FAMILIAR Y COMUNITARIA,UNIVERSIDAD TECNICA DEL NORTE,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
MAGISTER EN SALUD PUBLICA MENCION EN ATENCION INTEGRAL EN URGENCIAS Y EMERGENCIAS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
ESPECIALISTA EN MEDICINA DE EMERGENCIAS Y DESASTRES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
NUTRICIONISTA DIETISTA,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN ORTODONCIA Y ORTOPEDIA FUNCIONAL,UNIVERISDAD VERITAS ARTE DISEÑO ARQUITECTURA,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN PSIQUIATRIA GENERAL,PONTIFICIA UNIVERSIDAD JAVERIANA,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MEDICO CIRUJANO,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN ENFERMERIA,UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI,TERCER NIVEL
MASTER UNIVERSITARIO EN BIOETICA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ESPECIALISTA EN CIRUGIA GENERAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ENFERMERA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA MEDICA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
MEDICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD UTE,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ODONTOLOGO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
LICENCIADO EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN PODOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
LICENCIADO (A) EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN LABORATORIO CLINICO,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
MEDICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA MEDICA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MEDICA GENERAL,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD PUBLICA,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
MAGISTER EN NUTRICION Y DIETETICA,UNIVERSIDAD TECNICA DEL NORTE,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
MEDICA CIRUJANA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN DIETETICA Y NUTRICION,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
BACHELOR OF SCIENCE (B.Sc.) IN CHEMISTRY WITH MEDICINAL CHEMISTRY,UNIVERSITY OF GLASGOW,TERCER NIVEL
LICENCIADA EN TERAPIA DE LENGUAJE,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN PUERICULTURA Y PEDIATRIA,UNIVERSIDAD DE CARABOBO,CUARTO NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOTERAPIA INFANTIL Y DE ADOLESCENTES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN NEUROPSICOLOGIA DEL APRENDIZAJE,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
MAGISTER EN GERENCIA DE SERVICIOS DE LA SALUD,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN MEDICINA CRITICA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
"MASTER UNIVERSITARIO EN NUTRIGENOMICA Y NUTRICION PERSONALIZADA, CON ESPECIALIDAD EN INVESTIGACION EN NUTRIGENOMICA Y NUTRICION PERSONALIZADA",UNIVERSITAT DE LES ILLES BALEARS,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNOLOGA MEDICA EN PEDAGOGIA TERAPEUTICA,UNIVERSIDAD DE GUAYAQUIL,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
QUIMICO Y FARMACEUTICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
TECNOLOGO SUPERIOR EN PODOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MAGISTER EN CIENCIAS DEL LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
QUIMICO Y FARMACEUTICO ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MEDICA CIRUJANA,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN ANESTESIOLOGIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
QUIMICO Y FARMACEUTICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
DOCTORA EN MEDICINA Y CIRUGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
OBSTETRIZ,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MEDICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MEDICA,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN QUIMICA MENCION EN QUIMICA-FISICA,UNIVERSIDAD TECNICA DE AMBATO,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
TECNOLOGO EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO CRUZ ROJA ECUATORIANA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
LICENCIADO (A) EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ESPECIALISTA EN IMAGENOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
ESPECIALISTA EN OTORRINOLARINGOLOGIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
BIOQUIMICO/A FARMACEUTICO/A,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN PSICOLOGIA MENCION EN PSICOTERAPIA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
MEDICA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
